Melbourne Metropolitan Area,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
2007 ,"66,462 ","372,000 ",,"503,385 ",,"42,264 ","340,000 ",,"411,137 ",,"20,424 ","143,900 ",,"155,663 ",
2008 ,"52,125 ","385,000 ",,"510,275 ",,"32,104 ","355,000 ",,"409,915 ",,"16,159 ","152,000 ",,"161,811 ",
2009 ,"60,063 ","418,100 ",,"540,086 ",,"41,048 ","385,000 ",,"437,861 ",,"22,633 ","166,000 ",,"174,721 ",
2010 ,"55,463 ","495,500 ",,"636,510 ",,"40,135 ","449,000 ",,"511,202 ",,"19,560 ","190,000 ",,"206,051 ",
2011 ,"48,933 ","493,000 ",,"633,440 ",,"34,546 ","445,000 ",,"506,066 ",,"12,328 ","210,626 ",,"227,193 ",
2012 ,"47,573 ","485,000 ",,"618,297 ",,"34,257 ","435,500 ",,"493,846 ",,"10,219 ","210,000 ",,"226,841 ",
2013 ,"55,221 ","520,000 ",,"668,704 ",,"42,988 ","460,000 ",,"521,159 ",,"13,506 ","207,900 ",,"227,239 ",
2014 ,"60,825 ","556,000 ",,"726,538 ",,"51,216 ","481,500 ",,"542,489 ",,"16,203 ","210,000 ",,"232,699 ",
2015 ,"66,589 ","600,000 ",,"811,737 ",,"53,945 ","510,000 ",,"584,314 ",,"20,568 ","219,600 ",,"240,558 ",
2016 ,"61,892 ","641,000 ",,"861,329 ",,"47,270 ","520,000 ",,"612,279 ",,"26,133 ","229,000 ",,"245,169 ",
2017 ,"63,256 ","720,000 ",,"953,029 ",,"47,856 ","552,000 ",,"653,922 ",,"28,325 ","270,000 ",,"287,090 ",
2018 ,"51,699 ","740,000 ",,"977,405 ",,"34,831 ","565,000 ",,"653,618 ",,"16,701 ","313,500 ",,"332,626 ",
2019 ,"51,382 ","720,000 ",,"941,721 ",,"31,428 ","577,500 ",,"665,322 ",,"12,162 ","311,500 ",,"335,808 ",
2020 ,"46,341 ","750,000 ",,"989,232 ",,"27,691 ","599,000 ",,"681,891 ",,"21,243 ","310,000 ",,"327,790 ",
2021 ,"69,060 ","875,000 ",,"1,152,396 ",,"41,721 ","630,000 ",,"733,158 ",,"13,858 ","325,000 ",,"366,617 ",
2022 ,"9,181 ","820,000 ",,"1,045,479 ",,"6,864 ","600,000 ",,"671,695 ",,610 ,"360,000 ",,"408,514 ",
Statistics for 2022 are based on a small number of sales and are preliminary only.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MELBOURNE METROPOLITAN AREA,,,,,,,,,,,,,,,
Analysis of property sales for 2021,,,,,,,,,,,,,,,
Land Use,"No of
Sales",Mean Sales Price  ($),Median Sales Price  ($),Median Price per  Unit Area,,"Median Block
size","Price-Indices
(base is 100)",,,,"Mean Block
 size",Mean Price per  Unit Area,Mean Price per  Unit Area,,
,,,,,,,2020,,,2016,,,,,
Commercial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Advertising Sign Uns,4,2851250,2102500,10315.19,,349.00,ND,,,ND,879.00,,1746.30,,
Amusement Parks etc.,1,1480000,1480000,1251.06,,1183.00,ND,,,ND,1183.00,,1251.06,,
Bank,4,2332375,2175250,6577.70,,419.00,108.76<,,,543.81<,473.50,,4925.82,,
Bed and Breakfast,4,4274000,2200000,1317.71,,1096.00,182.57<,,,ND,52093.25,,82.05,,
Bottle Shop/Licensed,2,2635000,2635000,7784.03,,333.00,ND,,,52.41<,333.00,,7912.91,,
Brothel,2,1580000,1580000,7265.43,,1837.00,143.64<,,,10.62<,1837.00,,860.10,,
CafŽ,16,1484350,782500,1423.66,,290.50,101.95<,,,86.46<,683.21,,1989.50,,
Car Wash,6,2413222,1955000,1269.61,,1542.00,72.14<,,,287.50<,1628.50,,1481.87,,
CarPark Ð OpenAir,1,4169000,4169000,5035.02,,828.00,2526.67<,,,27.87<,828.00,,5035.02,,
CarPark Ð UnderCover,6,23166,21500,NA,,NA,143.33<,,,10.24<,NA,,NA,,
Cinema Complex,2,7546000,7546000,8847.40,,820.50,ND,,,ND,820.50,,9196.83,,
Com Land (Struct 0),23,2880481,1475000,2760.27,,731.00,109.26<,,,64.13<,3398.39,,847.60,,
ConferenceConvention,1,4775000,4775000,318.33,,15000.00,ND,,,ND,15000.00,,318.33,,
Convenience/FastFood,1,5000000,5000000,25773.20,,194.00,104.76<,,,ND,194.00,,25773.20,,
Crematorium/Funeral,2,4115000,4115000,1877.71,,3522.50,133.60<,,,231.83<,3522.50,,1168.20,,
Dental Clinic,8,1806250,1400000,2704.61,,604.00,87.77<,,,210.53<,548.38,,3293.82,,
Dev Site,146,5299577,1544310,279.81,,1501.00,187.19<,,,162.18<,18293.19,,283.12,,
Display Yard,1,6200000,6200000,NA,,NA,ND,,,ND,NA,,NA,,
Drive-in,1,20000000,20000000,250.22,,79930.00,ND,,,160.00<,79930.00,,250.22,,
Fuel Outlet/Garage,17,6349735,4750000,1828.99,,2045.50,102.15<,,,107.95<,2219.50,,2135.21,,
Ground Level Parking,12,3086171,804595,4734.57,,1119.00,494.37<,,,87.93<,1424.40,,2583.27,,
Health Clinic Unsp,88,2198902,1250000,1712.27,,725.50,104.60<,,,90.58<,1180.90,,1825.70,,
Health Surgery,19,3851789,2100000,5111.40,,763.00,131.25<,,,163.11<,1366.41,,2935.30,,
Holiday Units,1,435000,435000,NA,,NA,76.72<,,,86.62<,NA,,NA,,
Hotel,1,5850000,5850000,5327.87,,1098.00,254.35<,,,ND,1098.00,,5327.87,,
Hotel-Gaming,2,18017045,18017045,3769.22,,3950.00,ND,,,ND,3950.00,,4561.28,,
Hotel/Motel Unsp,10,15459430,4890158,1247.60,,2280.50,138.92<,,,512.06<,5849.50,,1745.43,,
Indiv CarPark Unspe,39,49346,30000,NA,,NA,85.71<,,,70.59<,NA,,NA,,
Licensed Restaurant,2,2425000,2425000,2292.79,,1521.50,121.25<,,,ND,1521.50,,1593.82,,
Licensed Ret Prem,1,45700000,45700000,4820.68,,9480.00,575.20<,,,460.69<,9480.00,,4820.68,,
Live Ent-Major Multi,1,5103000,5103000,4248.96,,1201.00,ND,,,81.65<,1201.00,,4248.96,,
LowRise Office Build,15,24395539,5250000,6914.80,,1490.00,124.28<,,,77.21<,5614.17,,5363.41,,
Medical/Surgery,20,1255423,935000,3024.45,,735.00,94.69<,,,112.15<,933.67,,1382.03,,
Member Club Facility,3,3921000,4500000,625.00,,2000.00,327.27<,,,545.45<,5000.67,,784.10,,
Mixed Use Office,16,865116,562500,252.18,,3212.00,57.73<,,,135.54<,4155.64,,265.75,,
Mixed Use Shop,6,569145,415000,1281.58,,745.00,41.46<,,,37.17<,1269.33,,448.38,,
Mixed Use Studio,1,750000,750000,3393.67,,221.00,ND,,,ND,221.00,,3393.67,,
Mixed Use Unspec,163,2587417,989322,2159.98,,314.50,133.89<,,,122.07<,2327.62,,1065.77,,
Mixed Use Workroom,1,28000,28000,NA,,NA,ND,,,ND,NA,,NA,,
Motel,1,10500000,10500000,2772.64,,3787.00,11.85<,,,375.00<,3787.00,,2772.64,,
Multi Use FuelOutlet,2,6887499,6887499,6428.96,,1851.00,255.09<,,,114.79<,1851.00,,6428.96,,
Multi-Lvl Offic Unsp,32,58744442,652500,63026.63,,3858.00,0.96<,,,44.39<,5823.15,,7489.51,,
Multi-storey CarPark,1,80800000,80800000,36380.01,,2221.00,731.22<,,,162.09<,2221.00,,36380.01,,
National Co Rest,4,4281750,4850000,3074.02,,2094.00,23.61<,,,ND,1922.75,,2226.89,,
National Co Ret Unsp,6,10646124,9100000,2403.73,,4077.00,213.11<,,,150.41<,11765.80,,646.79,,
Office & Dwelling,6,1373333,1342500,6671.49,,192.00,72.76<,,,ND,458.50,,2995.27,,
Office 4 to 50 Lvls,2,55900000,55900000,78623.19,,1104.00,12.67<,,,90.89<,1104.00,,78623.19,,
Office Cvrt Dwelling,4,4521875,2100000,2337.88,,586.00,95.45<,,,338.71<,609.67,,2984.96,,
Office Premises Uns,725,2653081,715000,450.98,,765.00,118.18<,,,127.58<,3136.53,,807.05,,
Plant/Tree Nursery,3,1983333,2240000,140.65,,26200.00,224.00<,,,203.64<,2062.00,,836.57,,
Pub,5,7040000,5300000,33057.85,,363.00,120.45<,,,199.92<,380.80,,18487.39,,
Pub/Tavern/Club Unsp,30,5535573,2260500,1701.15,,962.00,120.24<,,,91.89<,9249.14,,626.77,,
Reception/Function,2,10025000,10025000,1938.09,,5124.00,464.12<,,,113.92<,5124.00,,1956.48,,
Recreation Camp,1,2800000,2800000,36.16,,77430.00,ND,,,ND,77430.00,,36.16,,
Restaurant,26,2450089,1871250,4104.48,,268.00,105.87<,,,53.27<,726.84,,3468.29,,
Retail Mult Occ Unsp,207,4997758,1210000,2173.91,,230.00,123.47<,,,87.68<,1160.29,,3464.27,,
Retail Sgle Occ Unsp,926,1740485,920000,2274.25,,299.00,108.24<,,,96.84<,4288.55,,391.64,,
Retail Store/Showrm,17,4112521,3100000,3907.92,,934.00,97.02<,,,69.51<,6312.27,,518.70,,
Serv Apt/Unit Unsp,68,320994,310000,172.74,,1229.00,76.92<,,,69.98<,5112.58,,92.00,,
Serviced Apartments,4,374124,408750,220.47,,1837.00,87.43<,,,58.43<,1837.00,,220.47,,
Serviced Office,2,657500,657500,133.54,,4231.00,375.71<,,,7.49<,4231.00,,133.54,,
Shop,168,937885,700000,5426.01,,223.00,100.95<,,,95.89<,1639.68,,594.07,,
Shop & Dwelling,29,1117448,1020000,4209.18,,196.00,120.50<,,,59.82<,255.59,,4372.10,,
Shop Cnt Neighbhood,1,1100000,1100000,61.81,,17797.00,2.71<,,,ND,17797.00,,61.81,,
Shopping Centre Unsp,17,38672357,14375000,51.31,,12318.00,35.88<,,,106.01<,23881.54,,848.86,,
Strata/Subdiv Office,87,442918,220000,11.95,,4353.00,89.52<,,,153.31<,5222.57,,74.78,,
Supermarket,6,13140833,10487500,7257.90,,1162.50,156.81<,,,123.31<,2379.00,,5523.68,,
Tavern,1,4000000,4000000,4419.89,,905.00,ND,,,339.63<,905.00,,4419.89,,
Tourist Park/Caravan,3,12915177,17621873,299.24,,29645.00,396.92<,,,591.34<,29645.00,,349.25,,
Vehicle Rental Centr,1,1235714,1235714,630.47,,1960.00,39.01<,,,ND,1960.00,,630.47,,
Vehicle Sales Centre,25,9273906,4070000,864.84,,4047.00,82.63<,,,134.18<,10130.16,,915.47,,
Veterinary Clinic,10,1401500,1310000,1419.35,,930.00,98.50<,,,91.93<,795.00,,1842.77,,
Community Services,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Ambulance Station,2,1826750,1826750,3733.01,,541.50,93.68<,,,ND,541.50,,3373.50,,
Child Centre Unsp,3,9231145,8353437,3412.35,,2448.00,524.55<,,,213.80<,5792.67,,1593.59,,
Community Health Cen,1,775000,775000,794.87,,975.00,5.82<,,,ND,975.00,,794.87,,
Day Care Centre,22,5623676,6002500,5024.55,,1578.00,168.20<,,,135.12<,1703.55,,3301.16,,
Fire Station,2,546250,546250,341.48,,2904.00,ND,,,36.58<,2904.00,,188.10,,
Gov Primary School,3,505900,548900,27.45,,19997.00,ND,,,112.27<,19997.00,,25.30,,
Gov School (Unsp),1,20663500,20663500,246.00,,83997.00,ND,,,212.86<,83997.00,,246.00,,
Halls&Service Rooms,2,2655000,2655000,2337.72,,1845.50,132.36<,,,106.20<,1845.50,,1438.63,,
NonGov School Unsp,3,54607500,6537500,331.85,,19700.00,160.63<,,,18.61<,235543.33,,231.84,,
Place of Worship,6,1455333,1311500,498.62,,2595.00,47.69<,,,35.07<,2548.50,,571.05,,
Private Hospital,2,52485000,52485000,8030.88,,6081.50,ND,,,656.06<,6081.50,,8630.27,,
Religious Hall,2,2192500,2192500,1492.15,,2173.50,ND,,,ND,2173.50,,1008.74,,
Religious Residence,6,1916982,1463500,3078.36,,831.00,ND,,,168.22<,1579.83,,1213.41,,
University,2,22275000,22275000,31136.55,,632.50,40.77<,,,44.34<,632.50,,35217.39,,
Vac Edu & Res Site,4,17599110,16857500,283.10,,35000.00,392.03<,,,283.80<,51331.00,,307.13,,
Vac Health Ser Site,1,4620000,4620000,3208.33,,1440.00,41.26<,,,17.03<,1440.00,,3208.33,,
Extractive Industry,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Quarry Sand,2,1498260,1498260,196.56,,200518.50,ND,,,ND,200518.50,,7.47,,
Industrial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Abattoirs,1,2000000,2000000,10.09,,198300.00,2.30<,,,ND,198300.00,,10.09,,
Bulk Grain (Stuct),1,5500000,5500000,242.18,,22710.00,ND,,,ND,22710.00,,242.18,,
Coolstore/Coldstore,7,20806987,5726141,1411.77,,4056.00,11.69<,,,230.89<,12718.71,,1635.93,,
Factory,99,997858,650000,2533.60,,397.00,114.14<,,,150.29<,824.86,,1274.97,,
Factory Unit,67,743615,500000,3109.14,,218.50,105.69<,,,102.56<,1678.59,,477.27,,
Factory Unsp,1361,1799696,732500,1893.94,,528.00,122.08<,,,128.28<,2843.21,,684.55,,
Food ProcessingUnsp,6,14410666,1825000,1349.01,,1090.00,179.36<,,,32.02<,12570.83,,1146.36,,
Garage/Motor Vehicle,9,2519044,2099900,1924.07,,1040.50,118.97<,,,189.18<,1258.75,,2122.28,,
Hard/Storage Yard,4,1187968,1219687,758.52,,1682.00,ND,,,783.54<,1851.50,,641.63,,
Ind Dev Site,317,2539419,1117600,473.86,,2047.00,127.00<,,,132.18<,7382.06,,337.00,,
Ind Land Building $0,17,1836117,1650000,1532.03,,1087.50,183.84<,,,46.35<,2854.31,,641.88,,
Office/Factory,143,2850682,1025000,1239.66,,724.50,89.13<,,,52.38<,3210.72,,930.81,,
OpArea ContainerStor,1,26000000,26000000,1688.31,,15400.00,ND,,,ND,15400.00,,1688.31,,
OpenStorageUnspec,6,3021583,1017500,282.10,,3589.50,252.18<,,,436.32<,4630.83,,652.49,,
Rendering Plant,1,3190000,3190000,787.85,,4049.00,93.82<,,,225.08<,4049.00,,787.85,,
Sawmill,1,19750000,19750000,569.99,,34650.00,ND,,,ND,34650.00,,569.99,,
Storage Depot,3,5513333,3500000,686.41,,2972.00,39.19<,,,28.93<,3302.67,,1669.36,,
Vac Englobo Land,2,5201830,5201830,684.71,,10069.00,17.13<,,,193.02<,10069.00,,516.62,,
Warehouse,17,4135623,605000,49497.85,,697.00,35.48<,,,51.00<,2672.47,,1728.53,,
Warehouse Store,24,5058717,160737,33.23,,4635.00,146.12<,,,76.54<,4699.95,,1352.91,,
Warehouse Unspec,1023,2750346,797500,1675.72,,701.00,125.00<,,,119.64<,5294.63,,575.19,,
Warehouse/Factory,74,2479091,812500,1691.59,,699.00,92.33<,,,73.86<,2899.09,,936.88,,
Warehouse/Office,105,2906424,1000000,1136.58,,1011.00,81.30<,,,74.43<,6541.68,,442.81,,
Warehouse/Showroom,25,3952242,900000,2316.04,,694.50,116.50<,,,56.25<,4470.23,,976.79,,
Works Depot,1,41800000,41800000,1252.77,,33366.00,ND,,,ND,33366.00,,1252.77,,
Workshop,2,4165000,4165000,4440.70,,696.50,586.62<,,,4140.28<,696.50,,5979.90,,
Wrecking Yard,1,1700000,1700000,439.39,,3869.00,207.09<,,,ND,3869.00,,439.39,,
Infrastruc&Utilities,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Closed Roads,25,57315,22000,310.87,,46.00,103.70<,,,168.43<,153.55,,366.48,,
Electric Substation,2,21400,21400,924.17,,25.00,19.45<,,,0.41<,25.00,,856.00,,
Major Water Conduits,1,2156000,2156000,21.56,,100000.00,ND,,,ND,100000.00,,21.56,,
Phone Exchange,2,748885,748885,110.90,,1001517.00,ND,,,ND,1001517.00,,0.75,,
Port Dock/Berth,1,325000,325000,4166.67,,78.00,ND,,,ND,78.00,,4166.67,,
Post Offices,2,8076250,8076250,7294.17,,755.00,2019.06<,,,ND,755.00,,10697.02,,
Reserve for Drainage,2,56550,56550,12.23,,28778.50,ND,,,ND,28778.50,,1.97,,
ReservedRoads,1,11000,11000,18.12,,607.00,ND,,,118.52<,607.00,,18.12,,
Sewerage/StormUnsp,1,11000,11000,0.77,,14340.00,117.51<,,,ND,14340.00,,0.77,,
TelecomTowers Unspec,1,6930000,6930000,538.92,,12859.00,741.18<,,,210.77<,12859.00,,538.92,,
TV/Radio Station,1,28875000,28875000,2422.20,,11921.00,ND,,,ND,11921.00,,2422.20,,
Utilities Vac Land,2,501160,501160,11327.00,,62.00,372.50<,,,17.69<,62.00,,8083.23,,
"National Parks, etc",,,,,,($/SM),(SM),,,,(SM),,($/SM),,
VacLnd FutureReserve,2,121000,121000,24.75,,404.00,30.30<,,,51.16<,404.00,,24.75,,
Primary Production,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
DomsticLivestockGraz,12,2278333,1502500,9.33,,150000.00,75.13<,,,87.10<,185268.36,,12.93,,
GenCrop >20ha Unspec,1,1920000,1920000,5.93,,324000.00,73.85<,,,90.35<,324000.00,,5.93,,
Horse Stud,1,5100000,5100000,20.38,,250221.00,ND,,,130.43<,250221.00,,20.38,,
Horse Unspecified,7,2138571,1900000,22.98,,82680.00,53.52<,,,62.30<,88208.57,,24.24,,
Kennel/Cattery,2,23875000,23875000,366.97,,121400.00,120.89<,,,1202.77<,121400.00,,366.97,,
Livestock Ð  Beef,32,6973375,4925000,47.91,,211905.50,117.26<,,,198.99<,285002.88,,24.47,,
Livestock Ð  Dairy,5,4296000,1355000,0.83,,601330.00,63.29<,,,ND,656286.00,,6.55,,
Livestock Ð Sheep,4,5875000,4750000,17.05,,301700.00,ND,,,309.45<,321625.00,,18.27,,
MarketGardenVeg <20h,13,4277280,2255000,54.13,,41660.00,143.17<,,,107.38<,48661.46,,87.90,,
MixedFarm + infrast,3,22666666,11000000,26.13,,420900.00,94.56<,,,628.57<,384100.00,,59.01,,
MixedFarm no infrast,2,78595000,78595000,65.16,,837800.00,321.85<,,,5920.53<,837800.00,,93.81,,
MixedFarm&GrazUnsp,92,3019005,1850000,6.26,,323405.00,123.33<,,,115.63<,344759.89,,8.76,,
Native Bshland,6,1896166,1183500,2.76,,308000.00,130.41<,,,89.29<,457940.17,,4.14,,
Native Hardwood,1,1812500,1812500,8.22,,220500.00,ND,,,ND,220500.00,,8.22,,
Plant/Tree Nursery,11,2917272,2240000,140.65,,26200.00,224.00<,,,203.64<,83686.36,,34.86,,
Poultry broiler,6,3160000,3005000,55.65,,89300.00,109.07<,,,34.74<,107408.33,,29.42,,
Poultry egg,1,1900000,1900000,23.84,,79710.00,182.69<,,,95.00<,79710.00,,23.84,,
Vineyard,19,3726783,2500000,17.37,,146800.00,80.32<,,,92.94<,194543.74,,19.16,,
Residential,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Age Care/Nursing Uns,7,5719792,4400000,2740.18,,2722.00,124.29<,,,65.71<,2535.71,,2255.69,,
Aged Care Complex,1,8500000,8500000,5077.66,,1674.00,90.74<,,,87.74<,1674.00,,5077.66,,
Boarding House,47,1237858,1000000,2207.22,,659.00,83.09<,,,94.25<,637.34,,1987.03,,
Cabin/Accommodation,1,2920000,2920000,835.00,,3497.00,ND,,,56.10<,3497.00,,835.00,,
Cojoin Strata Unsp,1183,970740,708000,NA,,NA,98.47<,,,111.32<,NA,,NA,,
Conjoined StrataUnit,401,620187,600000,NA,,NA,109.69<,,,117.65<,NA,,NA,,
Detached Home (Ind),1,10000000,10000000,411.84,,24281.00,1176.47<,,,1085.19<,24281.00,,411.84,,
Detached Home (New),108,1238493,850050,1492.65,,408.00,131.79<,,,139.35<,450.77,,2757.44,,
Detached Home Unsp,63334,1140845,856000,4005.15,,583.00,116.46<,,,115.36<,621.00,,1837.51,,
Detached Home(Comm),20,1168542,1136500,3569.28,,351.00,54.12<,,,ND,440.40,,2653.37,,
Detached Home(exist),2791,1165382,1040000,2104.38,,594.00,120.54<,,,142.66<,723.48,,1606.23,,
Disability Housing,5,1800899,1420000,2624.56,,562.00,ND,,,37.87<,622.60,,2892.55,,
Granny Flat/Studio,1,906000,906000,NA,,NA,98.48<,,,ND,NA,,NA,,
Half Pair or Duplex,94,1173446,1049500,2076.50,,366.00,101.89<,,,128.30<,380.43,,3003.86,,
House & Flat/Studio,1,1075000,1075000,1700.95,,632.00,ND,,,36.82<,632.00,,1700.95,,
Individual Berth,24,205895,191250,3301.72,,58.00,111.19<,,,95.63<,65.50,,3144.69,,
Individual Car Park,695,39596,5000,NA,,NA,13.07<,,,11.20<,NA,,NA,,
Individual Flat,57,1041399,820000,19319.51,,249.50,116.73<,,,85.11<,249.50,,19478.96,,
MisImpRuralLand Unsp,27,3065157,1050000,37.24,,24031.00,92.31<,,,35.00<,48226.89,,63.56,,
Nursing Home,3,7976666,8200000,4019.81,,2928.00,78.54<,,,ND,3289.33,,2425.01,,
OYO Cluster Unit,7,947571,906000,NA,,NA,98.88<,,,134.22<,NA,,NA,,
OYO Co Share Flat,2,538500,538500,NA,,NA,ND,,,97.91<,NA,,NA,,
OYO Strata Flat,1367,560908,525000,NA,,NA,105.00<,,,120.00<,NA,,NA,,
OYO Stratum Flat,30,652643,660000,NA,,NA,104.76<,,,126.44<,NA,,NA,,
OYO Sub Dwelling,221,1000378,911000,NA,,NA,116.05<,,,117.55<,NA,,NA,,
OYO Sub Unit,2272,698630,595000,NA,,NA,106.44<,,,122.68<,NA,,NA,,
OYO Subdivided Flat,1883,655756,547500,NA,,NA,102.82<,,,112.31<,NA,,NA,,
OYO Unit,186,1034043,997575,NA,,NA,110.75<,,,105.79<,NA,,NA,,
Res Co Sh Unit HR,39,637820,615000,NA,,NA,113.89<,,,140.73<,NA,,NA,,
Res Co Sh Unit Unsp,18,865500,855000,NA,,NA,112.50<,,,135.93<,NA,,NA,,
Res Dev Site,274,1268299,348000,990.96,,431.00,99.43<,,,73.57<,3820.45,,374.95,,
Res Investment Flat,245,1714924,1195000,1630.07,,834.00,149.47<,,,65.04<,942.83,,1465.44,,
Res Land (WithBuild),1067,1403821,1260000,1385.39,,794.00,133.33<,,,117.21<,1160.02,,1222.29,,
Res/Rural Lstyle,1830,1980904,1600000,145.95,,10010.00,123.08<,,,126.88<,24115.02,,82.25,,
Residential Airspace,2,242500,242500,NA,,NA,ND,,,36.34<,NA,,NA,,
ResLandWithImprovemt,112,295526,14187,197.82,,1011.00,28.37<,,,116.77<,2314.87,,339.84,,
Retire Village Compl,2,1500000,1500000,52.26,,32600.00,15.55<,,,50.49<,32600.00,,46.01,,
Retire Village Unit,425,489447,490000,121.02,,5743.00,112.64<,,,113.95<,5743.00,,121.02,,
Row House,27,802692,770000,5673.76,,141.00,100.20<,,,99.35<,137.16,,5904.84,,
Semi-detached,15,1265333,1325000,4406.13,,261.00,130.54<,,,118.57<,283.00,,4471.14,,
Semi-detached Unspec,2615,1361109,1250000,11533.51,,194.00,116.28<,,,171.23<,244.59,,5668.02,,
Sep House&Curtilage,6,3095500,3477500,1738.75,,2000.00,37.35<,,,203.07<,1916.50,,1615.18,,
Short Term Hol Accom,3,1525000,1820000,1995.77,,600.00,ND,,,418.87<,600.00,,2083.33,,
Single Strata Unit,433,517132,460000,NA,,NA,107.23<,,,112.20<,NA,,NA,,
Single Strata Unsp,19915,749249,662000,1923.43,,258.50,107.29<,,,121.47<,319.60,,2785.90,,
Special Accomm Res,1,930000,930000,1453.13,,640.00,180.58<,,,ND,640.00,,1453.13,,
Storage Area Res,33,84041,16000,6.06,,1237.00,100.00<,,,145.45<,4175.29,,77.26,,
Strata Dwelling,28,816051,673500,NA,,NA,123.86<,,,109.33<,NA,,NA,,
Strata Unit/Flat Uns,10791,701063,593000,5969.05,,215.50,101.37<,,,100.51<,506.17,,1563.60,,
Sub Div (EnGlobo),3,3942500,3500000,274.02,,28200.00,51.32<,,,41.52<,31990.00,,123.24,,
Sub Div (Multi Lot),7,10592394,7535000,235.44,,21662.00,180.26<,,,282.21<,38611.86,,274.33,,
Terrace House,87,2870022,2288000,8624.34,,189.00,114.74<,,,131.87<,214.76,,13578.03,,
Townhouse,1674,835934,730000,11322.22,,180.00,107.35<,,,112.83<,211.67,,8319.69,,
Vac Res A,13774,361763,325000,872.50,,400.00,104.84<,,,103.83<,422.05,,872.86,,
Vac Res B,82,1176805,783000,815.95,,2502.00,114.31<,,,136.17<,2617.60,,449.57,,
Vac Res C,2,575800,575800,96.66,,6940.00,63.27<,,,129.10<,6940.00,,82.97,,
Vac Res Englobo Oth,44,16924593,9750000,132.49,,41445.00,203.76<,,,134.70<,125060.89,,135.33,,
Vac Res Rural Lstyle,259,1389570,906000,497.94,,8130.00,115.41<,,,129.89<,24551.08,,56.83,,
Villa Unit,589,582424,570000,NA,,NA,111.76<,,,113.89<,NA,,NA,,
Sport/Hrtge/Cultural,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Aero Club Facility,3,724333,725000,1544.66,,468.50,ND,,,ND,468.50,,1545.36,,
Aquatic Complex,1,1200000,1200000,979.59,,1225.00,ND,,,ND,1225.00,,979.59,,
Equestrian Centre,1,8300000,8300000,20.85,,398000.00,ND,,,ND,398000.00,,20.85,,
